Submission ID;Respondent ID;Submitted at;First Name;Last Name;Linkedin;Phone;Email;Dietary requirements;T-shirt size;Emergency contact;Emergency contact Phone;Why do you want to be part of Tectonic 2026?;Would you be interested in taking on a volunteer role with a little more responsibility?;Introduce yourself! 🎥;Upload your CV;Are you volunteering through an organization?;What organisation?;What kind of shifts would you feel comfortable doing?;What kind of shifts would you feel comfortable doing? (Setup & Logistics);What kind of shifts would you feel comfortable doing? (Technical Support);What kind of shifts would you feel comfortable doing? (Guest Flow & Stewarding);What kind of shifts would you feel comfortable doing? (Info & Welcome);What kind of shifts would you feel comfortable doing? (Food & Drinks);What kind of shifts would you feel comfortable doing? (Runner & Flexible Support);What kind of shifts would you feel comfortable doing? (Stage & Session Support);When would you be available to help out at Tectonic?;When would you be available to help out at Tectonic? (October 20 - Morning (Hackathon or Setup) );When would you be available to help out at Tectonic? (October 21 - Morning);When would you be available to help out at Tectonic? (October 21 - Afternoon);When would you be available to help out at Tectonic? (October 21 - Evening);When would you be available to help out at Tectonic? (October 22 - Morning (Breakdown));When would you be available to help out at Tectonic? (October 20 - Afternoon (Hackathon or Setup) );When would you be available to help out at Tectonic? (October 20 - Evening (Hackathon or Setup) );How many shifts would you be willing to take on during Tectonic?;Where did you hear about the open positions?;Anything else you would like to share with us?;Untitled checkboxes field;Untitled checkboxes field (I agree that Tectonic may use the information provided in this form for the organisation and coordination of Tectonic 2026 and its volunteer team. Privacy policy - https://www.tectonicconf.eu/privacy-statement)
sub_0001;resp_0001;2026-08-20T14:00;Nina;Jacobs;https://www.linkedin.com/in/nina-jacobs-1;+32478078673;nina.jacobs1@example.com;;S;Louise Claes;+32484903402;I would like to help make the event run smoothly and meet new people.;No;;;Nope, I'm Joining Independently;;Guest Flow & Stewarding;;;Yes;;;;;October 21 - Morning, October 20 - Afternoon (Hackathon or Setup), October 20 - Morning (Hackathon or Setup);Yes;Yes;;;;Yes;;4+;LinkedIn;;;Yes
sub_0002;resp_0002;2026-08-20T19:00;Charlotte;Vermeire;https://www.linkedin.com/in/charlotte-vermeire-2;+32472556017;charlotte.vermeire2@example.com;Vegan;S;Milan De Vos;+32485437923;I would like to help make the event run smoothly and meet new people.;Yes;;;Nope, I'm Joining Independently;;Stage & Session Support, Setup & Logistics, Technical Support;Yes;Yes;;;;;Yes;October 21 - Afternoon, October 20 - Evening (Hackathon or Setup), October 21 - Morning, October 22 - Morning (Breakdown), October 21 - Evening;;Yes;Yes;Yes;Yes;;Yes;2;Tectonic website;;;Yes
sub_0003;resp_0003;2026-08-21T00:00;Louise;Martens;https://www.linkedin.com/in/louise-martens-3;+32474905582;louise.martens3@example.com;;M;Lotte Verhoeven;+32487120868;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Nope, I'm Joining Independently;;Runner & Flexible Support, Food & Drinks, Guest Flow & Stewarding;;;Yes;;Yes;Yes;;October 20 - Afternoon (Hackathon or Setup), October 20 - Morning (Hackathon or Setup), October 20 - Evening (Hackathon or Setup), October 21 - Morning, October 21 - Evening;Yes;Yes;;Yes;;Yes;Yes;3;LinkedIn;;;Yes
sub_0004;resp_0004;2026-08-21T05:00;Felix;Wouters;https://www.linkedin.com/in/felix-wouters-4;+32476440561;felix.wouters4@example.com;;M;Manon Janssens;+32486292423;I want to gain event experience and be part of the Tectonic community.;No;;;Nope, I'm Joining Independently;;Runner & Flexible Support, Stage & Session Support, Setup & Logistics, Technical Support, Guest Flow & Stewarding;Yes;Yes;Yes;;;Yes;Yes;October 21 - Morning, October 21 - Evening, October 20 - Afternoon (Hackathon or Setup), October 21 - Afternoon, October 22 - Morning (Breakdown);;Yes;Yes;Yes;Yes;Yes;;2;LinkedIn;;;Yes
sub_0005;resp_0005;2026-08-21T10:00;Bram;Vermeire;https://www.linkedin.com/in/bram-vermeire-5;+32478187926;bram.vermeire5@example.com;Gluten-free;M;Milan Goossens;+32483320821;I want to gain event experience and be part of the Tectonic community.;Yes;;;Yes;VTK Gent;Guest Flow & Stewarding, Technical Support, Info & Welcome, Food & Drinks, Stage & Session Support, Runner & Flexible Support;;Yes;Yes;Yes;Yes;Yes;Yes;October 21 - Morning, October 20 - Evening (Hackathon or Setup), October 22 - Morning (Breakdown);;Yes;;;Yes;;Yes;1;Friend;;;Yes
sub_0006;resp_0006;2026-08-21T15:00;Marie;Willems;https://www.linkedin.com/in/marie-willems-6;+32475476583;marie.willems6@example.com;Vegetarian;S;Victor Van Damme;+32483653446;I want to gain event experience and be part of the Tectonic community.;Yes;;;Nope, I'm Joining Independently;;Info & Welcome, Food & Drinks, Setup & Logistics, Stage & Session Support, Technical Support;Yes;Yes;;Yes;Yes;;Yes;October 21 - Evening, October 22 - Morning (Breakdown), October 21 - Afternoon, October 20 - Morning (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup);Yes;;Yes;Yes;Yes;Yes;;3;University;;;Yes
sub_0007;resp_0007;2026-08-21T20:00;Hanne;Willems;https://www.linkedin.com/in/hanne-willems-7;+32476438436;hanne.willems7@example.com;Vegan;S;Noah De Vos;+32486159230;I am interested in technology and would enjoy contributing to Tectonic.;Yes;;;Nope, I'm Joining Independently;;Setup & Logistics, Runner & Flexible Support, Guest Flow & Stewarding, Technical Support;Yes;Yes;Yes;;;Yes;;October 20 - Evening (Hackathon or Setup), October 21 - Morning, October 22 - Morning (Breakdown);;Yes;;;Yes;;Yes;2;University;;;Yes
sub_0008;resp_0008;2026-08-22T01:00;Louise;Maes;https://www.linkedin.com/in/louise-maes-8;+32476229731;louise.maes8@example.com;Vegan;L;Nina De Vos;+32488350099;I want to gain event experience and be part of the Tectonic community.;Yes;;;Nope, I'm Joining Independently;;Stage & Session Support, Setup & Logistics, Food & Drinks, Technical Support, Runner & Flexible Support;Yes;Yes;;;Yes;Yes;Yes;October 22 - Morning (Breakdown), October 21 - Morning, October 21 - Afternoon, October 21 - Evening, October 20 - Morning (Hackathon or Setup);Yes;Yes;Yes;Yes;Yes;;;2;LinkedIn;;;Yes
sub_0009;resp_0009;2026-08-22T06:00;Louise;Vermeulen;https://www.linkedin.com/in/louise-vermeulen-9;+32474841005;louise.vermeulen9@example.com;;S;Wout Vermeulen;+32482188789;I am interested in technology and would enjoy contributing to Tectonic.;No;;;Nope, I'm Joining Independently;;Food & Drinks;;;;;Yes;;;October 21 - Morning, October 20 - Morning (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup);Yes;Yes;;;;Yes;;No preference;LinkedIn;;;Yes
sub_0010;resp_0010;2026-08-22T11:00;Mathias;Mertens;https://www.linkedin.com/in/mathias-mertens-10;+32478835373;mathias.mertens10@example.com;;L;Nina Jacobs;+32482016911;I want to gain event experience and be part of the Tectonic community.;No;;;Yes;AIESEC Ghent;Food & Drinks, Stage & Session Support, Info & Welcome, Technical Support, Runner & Flexible Support;;Yes;;Yes;Yes;Yes;Yes;October 21 - Morning, October 20 - Morning (Hackathon or Setup), October 20 - Afternoon (Hackathon or Setup), October 21 - Evening, October 20 - Evening (Hackathon or Setup), October 21 - Afternoon;Yes;Yes;Yes;Yes;;Yes;Yes;2;LinkedIn;;;Yes
