id,first_name,last_name,email,phone_number,association,wants_responsibility,is_backup,approval_status,uploaded_video,magic_link_token,preferences,availability
resp_0001,Nina,Jacobs,nina.jacobs1@example.com,+32478078673,,False,False,unreviewed,False,fFLYn7lKsm8NMLcc5mvZHQ6kGivzLjzN,Guest Flow & Stewarding,2026-10-21 Morning
resp_0002,Charlotte,Vermeire,charlotte.vermeire2@example.com,+32472556017,,True,False,unreviewed,False,UajKO_ED7LBA2cKlohvYbcKka-dwgIAu,Setup & Logistics; Technical Support; Stage & Session Support,2026-10-21 Afternoon; 2026-10-21 Evening; 2026-10-21 Morning; 2026-10-22 Morning
resp_0003,Louise,Martens,louise.martens3@example.com,+32474905582,,False,False,unreviewed,False,vYxENo1alZF4C0i6lqxyrEw0BX1WyLko,Guest Flow & Stewarding; Food & Drinks; Runner & Flexible Support,2026-10-21 Evening; 2026-10-21 Morning
resp_0004,Felix,Wouters,felix.wouters4@example.com,+32476440561,,False,False,unreviewed,False,LIklhiSI_26nr8PjNlnWZfd1PNjYck5w,Setup & Logistics; Technical Support; Guest Flow & Stewarding; Runner & Flexible Support; Stage & Session Support,2026-10-21 Afternoon; 2026-10-21 Evening; 2026-10-21 Morning; 2026-10-22 Morning
resp_0005,Bram,Vermeire,bram.vermeire5@example.com,+32478187926,VTK Gent,True,False,unreviewed,False,jQTJoMlaHHl9qXGq2xmfpmZ1sTq7q5ZA,Technical Support; Guest Flow & Stewarding; Info & Welcome; Food & Drinks; Runner & Flexible Support; Stage & Session Support,2026-10-21 Morning; 2026-10-22 Morning
resp_0006,Marie,Willems,marie.willems6@example.com,+32475476583,,True,False,unreviewed,False,9IjpCrfJeONqDWH-iYnvAkwW0WBqjGAJ,Setup & Logistics; Technical Support; Info & Welcome; Food & Drinks; Stage & Session Support,2026-10-21 Afternoon; 2026-10-21 Evening; 2026-10-22 Morning
resp_0007,Hanne,Willems,hanne.willems7@example.com,+32476438436,,True,False,unreviewed,False,CMRzNByYYoYQsG4U-ZM_bYxgKN6_QB2x,Setup & Logistics; Technical Support; Guest Flow & Stewarding; Runner & Flexible Support,2026-10-21 Morning; 2026-10-22 Morning
resp_0008,Louise,Maes,louise.maes8@example.com,+32476229731,,True,False,unreviewed,False,Pwo7TCXhpsZODfdbOffqDRptiahTkrXE,Setup & Logistics; Technical Support; Food & Drinks; Runner & Flexible Support; Stage & Session Support,2026-10-21 Afternoon; 2026-10-21 Evening; 2026-10-21 Morning; 2026-10-22 Morning
resp_0009,Louise,Vermeulen,louise.vermeulen9@example.com,+32474841005,,False,False,unreviewed,False,F3K62orySjR-WMnxUM4ezE9vxA5F23LC,Food & Drinks,2026-10-21 Morning
resp_0010,Mathias,Mertens,mathias.mertens10@example.com,+32478835373,AIESEC Ghent,False,False,unreviewed,False,HYZTm6Aumofazk3gw3WVPs5S9DigzKL2,Technical Support; Info & Welcome; Food & Drinks; Runner & Flexible Support; Stage & Session Support,2026-10-21 Afternoon; 2026-10-21 Evening; 2026-10-21 Morning
